ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,USD Purchase Amount,USD Purchase Amount Clean
275,ENG,Limited,RENEWAL,Web,35.97,USD,2020-01-10,2020-07-10,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0,35.97,35.97
278,ESP,Limited,INITIAL_PURCHASE,Web,207.9,USD,2019-12-03,2020-12-03,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,20,17,9,5,1,207.9,207.9
279,DEU,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-11-16,2020-12-16,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,5,3,0,2,0,65.94,65.94
281,EBR,Lifetime,INITIAL_PURCHASE,Web,149.0,EUR,2019-09-26,2099-01-01,Yes,No,Off,Europe,Consumer,App,No,Yes,1,1,1,1,1,163.9,163.9
283,ITA,Limited,INITIAL_PURCHASE,Web,69.5,USD,2019-12-10,2020-06-18,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,131,0,0,0,0,69.5,69.5
284,FRA,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-06-11,2019-12-11,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,41,2,0,2,0,0.0,0.0
285,ESC,Limited,INITIAL_PURCHASE,Web,39.0,GBP,2019-11-23,2020-06-01,No,Yes,Off,Other,Consumer,Web,No,Yes,3,3,2,2,1,49.14,49.14
286,ESP,Limited,RENEWAL,Web,35.97,USD,2019-03-01,2020-06-01,No,No,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0,35.97,35.97
288,POL,Limited,INITIAL_PURCHASE,Web,19.6,EUR,2019-11-24,2020-02-24,Yes,No,Off,Europe,Consumer,Web,No,Yes,8,2,1,2,1,21.560000000000002,21.560000000000002
292,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-08,2020-06-08,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,7,0,0,0,0,35.97,35.97
293,FRA,Lifetime,INITIAL_PURCHASE,Web,0.0,GBP,2019-05-19,2099-01-01,No,No,Off,Europe,Consumer,Web,Yes,Yes,2,0,0,0,0,0.0,0.0
295,EBR,Limited,INITIAL_PURCHASE,Web,13.94,EUR,2019-04-25,2021-04-25,No,No,Off,Europe,Consumer,Web,No,Yes,1,0,0,0,0,15.334000000000001,15.334000000000001
297,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-20,2099-01-01,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,109,15,1,10,1,189.0,189.0
302,ESP,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-11,2020-03-07,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,24,0,0,0,0,39.0,39.0
304,RUS,Limited,RENEWAL,Web,79.0,USD,2019-10-06,2020-04-06,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,182,33,0,3,0,79.0,79.0
305,ESC,Limited,INITIAL_PURCHASE,Web,0.0,EUR,2019-01-02,2020-01-02,No,No,Off,Europe,Consumer,Web,Yes,Yes,79,0,0,0,0,0.0,0.0
308,FRA,Limited,RENEWAL,Web,119.0,USD,2019-02-04,2020-08-04,No,No,On,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0,119.0,119.0
310,ESC,Lifetime,INITIAL_PURCHASE,Web,199.0,GBP,2019-09-28,2099-01-01,No,No,Off,Europe,Consumer,Web,No,Yes,1,0,0,0,0,250.74,250.74
312,FRA,Limited,INITIAL_PURCHASE,Web,53.4,EUR,2019-11-16,2020-05-16,Yes,No,Off,Europe,Consumer,Web,Yes,Yes,37,3,0,1,0,58.74,58.74
315,DEU,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-01-10,2019-04-10,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,194,15,0,14,0,0.0,0.0
320,ENG,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-05-24,2019-11-28,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0,0.0,0.0
326,ESP,Limited,RENEWAL,Web,119.0,USD,2019-08-06,2020-08-06,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,2,1,0,1,0,119.0,119.0
331,FRA,Limited,INITIAL_PURCHASE,Web,108.0,EUR,2020-02-01,2020-08-04,No,Yes,Off,Europe,Consumer,Web,No,Yes,6,2,0,2,0,118.80000000000001,118.80000000000001
334,HEB,Limited,RENEWAL,Web,19.99,USD,2019-09-27,2020-04-27,No,No,On,US/Canada,Consumer,Web,Yes,Yes,4,0,0,0,0,19.99,19.99
335,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-09-08,2020-03-08,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,28,6,5,2,1,35.97,35.97
336,EBR,Limited,INITIAL_PURCHASE,Web,69.3,EUR,2020-03-16,2020-06-16,No,No,On,Europe,Consumer,Web,Yes,Yes,5,5,5,1,1,76.23,76.23
337,TGL,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-10-22,2020-10-22,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,4,0,2,0,0.0,0.0
338,ESP,Limited,RENEWAL,Web,79.0,USD,2019-02-04,2020-05-04,No,No,On,US/Canada,Consumer,Web,Yes,Yes,14,13,0,3,0,79.0,79.0
343,SVE,Limited,RENEWAL,Web,6.67,GBP,2018-10-21,2020-04-23,No,No,On,Europe,Consumer,Web,Yes,Yes,41,41,23,2,1,8.4042,8.4042
345,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-01-27,2020-04-30,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,30,28,0,9,0,35.97,35.97
348,ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,2020-03-23,2022-03-23,No,No,On,US/Canada,Consumer,Web,Yes,Yes,45,0,0,0,0,143.76,143.76
352,ITA,Limited,INITIAL_PURCHASE,Web,94.5,EUR,2019-07-31,2020-08-07,No,Yes,Off,Europe,Consumer,Web,No,Yes,13,12,3,7,2,103.95,103.95
353,CHI,Lifetime,INITIAL_PURCHASE,Web,52.55,USD,2018-12-24,2099-01-01,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,1,1,0,1,0,52.55,52.55
354,ESC,Limited,INITIAL_PURCHASE,Web,49.0,EUR,2019-09-28,2020-03-28,Yes,No,Off,Europe,Consumer,Web,No,Yes,2,2,0,2,0,53.900000000000006,53.900000000000006
355,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-01-08,2020-07-08,Yes,No,On,US/Canada,Consumer,Web,No,Yes,17,11,3,5,2,35.97,35.97
357,ESP,Limited,INITIAL_PURCHASE,Web,42.46,USD,2019-09-24,2020-03-27,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,7,1,0,1,0,42.46,42.46
360,ESP,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-01-16,2021-01-16,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,3,0,0,0,0,0.0,0.0
361,POL,Limited,INITIAL_PURCHASE,Web,42.0,EUR,2019-11-29,2020-04-03,No,No,Off,Europe,Consumer,Web,No,Yes,13,13,0,2,0,46.2,46.2
362,ESP,Limited,RENEWAL,Web,35.97,USD,2019-08-26,2020-05-29,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0,35.97,35.97
364,ESP,Limited,RENEWAL,Web,35.97,USD,2019-11-30,2020-05-29,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,4,0,3,0,35.97,35.97
365,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2019-02-15,2099-01-01,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,15,9,9,2,2,199.0,199.0
375,POR,Limited,RENEWAL,Web,35.97,USD,2019-09-24,2020-06-24,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,10,9,6,3,1,35.97,35.97
376,ENG,Limited,RENEWAL,Web,35.97,USD,2019-12-15,2020-06-15,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,4,1,0,1,0,35.97,35.97
